name,category,views,ingredients,method,garnish,image_url,url
Last Word,The unforgettables,104.9K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-last-word-6694911607ddf.webp,https://iba-world.com/iba-cocktail/last-word/
Lemon Drop Martini,Contemporary Classics,85.7K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-lemon-drop-martini-6695cdbe3eed7.webp,https://iba-world.com/iba-cocktail/lemon-drop-martini/
Long Island Iced Tea,Contemporary Classics,195.4K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-long-island-iced-tea-6695cdc10c463.webp,https://iba-world.com/iba-cocktail/long-island-iced-tea/
Mai-Tai,Contemporary Classics,159.9K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-mai-tai-6695cdc169ea3.webp,https://iba-world.com/iba-cocktail/mai-tai/
Manhattan,The unforgettables,201.1K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-manhattan-6694911627de7.webp,https://iba-world.com/iba-cocktail/manhattan/
Margarita,Contemporary Classics,269.3K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-margarita-6695cdd7505e0.webp,https://iba-world.com/iba-cocktail/margarita/
Martinez,The unforgettables,105.7K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-martinez-6694911927849.webp,https://iba-world.com/iba-cocktail/martinez/
Mary Pickford,The unforgettables,75.9K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-mary-pickford-6694911933ea7.webp,https://iba-world.com/iba-cocktail/mary-pickford/
Mimosa,Contemporary Classics,96.6K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-mimosa-6695cdc4463c9.webp,https://iba-world.com/iba-cocktail/mimosa/
Mint Julep,Contemporary Classics,63.0K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-mint-julep-6695cdc4aa398.webp,https://iba-world.com/iba-cocktail/mint-julep/
Missionary’s Downfall,New Era,79.1K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-missionarys-downfall-6695d3ab4d4c5.webp,https://iba-world.com/iba-cocktail/missionarys-downfall/
Mojito,Contemporary Classics,161.2K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-mojito-6695cdc755626.webp,https://iba-world.com/iba-cocktail/mojito/
